COUNTRY,FHREVERS,GDP90LGN,ETHLING,GRW7598P,BRITCOL,POSTCOM,OPEC,MUSLIM
Alb,4.099999905,2.925312042,0.25999999,-0.800000012,0,1,0,1
Alg,2.150000095,3.214313984,0.310000002,0.200000003,0,0,1,1
Arg,5.650000095,3.762078047,0.209999993,0.600000024,0,0,0,0
Arm,3.949999809,3.187802553,0.159999996,-6.599999905,0,1,0,0
Austria,7,4.43554163,0.140000001,2.200000048,0,0,0,0
Austrl,7,4.25582695,0.129999995,1.899999976,1,0,0,0
Aze,2.599999905,3.028164387,0.370000005,-9.800000191,0,1,0,1
Bahr,1.850000024,3.93201685,0.529999971,-1.399999976,0,0,0,1
Bang,4.949999809,2.437750578,0.310000002,2.400000095,1,0,0,1
Bela,2.900000095,3.441066504,0.360000014,-1.299999952,0,1,0,0
Belg,6.75,4.410676003,0.649999976,1.899999976,0,0,0,0
Ben,6,2.537819147,0.899999976,0.699999988,0,0,0,0
Bhut,1.149999976,2.587710857,0.819999993,4.300000191,0,0,0,0
Bol,5.650000095,2.922206163,0.680000007,-0.200000003,0,0,0,0
Bot,6,3.494710922,0.439999998,5.199999809,1,0,0,0
Bra,4.900000095,3.610447168,0.029999999,1.200000048,0,0,0,0
Bul,5.650000095,3.234517336,0.219999999,0.200000003,0,1,0,0
Burk,3.449999809,2.352182627,0.75999999,1.200000048,0,0,0,1
Buru,1.550000191,2.313867331,0,-0.400000006,0,0,0,0
Camb,2.25,2.380211353,0.310000002,2,0,0,0,0
Camr,2.050000191,2.883093357,0.970000029,0.200000003,0,0,0,0
Can,7,4.282395363,0.550000012,1.5,1,0,0,0
CAR,4,2.559906721,0.959999979,-1.200000048,0,0,0,0
Chad,2.550000191,2.357934952,0.949999988,-0.400000006,0,0,0,1
Chile,6,3.475235224,0.059999999,4.199999809,0,0,0,0
China,1.150000095,2.54282546,0.479999989,7.5,0,0,0,0
Col,4.400000095,3.326130867,0.029999999,1.700000048,0,0,0,0
Com,3.849999905,2.712649584,0.01,-1.200000048,0,0,0,1
Cong-Z,1.099999905,2.392696857,0.920000017,-4.800000191,0,0,0,0
Cong,3.449999809,2.969881535,0.610000014,0.600000024,0,0,0,0
Cotd'lv,2.75,2.898176432,0.910000026,-1,0,0,0,1
CR,6.599999905,3.380753756,0.039999999,1,0,0,0,0
Cro,4.199999809,3.734959841,0.07,-1.399999976,0,1,0,0
Cyp,7,4.017241955,0.370000005,5.699999809,1,0,0,0
Cze,6.5,3.721810579,0.059999999,2.200000048,0,1,0,0
Den,7,4.493360519,0.050000001,2.099999905,0,0,0,0
Dji,2.5,2.954242468,0.579999983,-4.599999905,0,0,0,1
DR,5.199999809,3.135450602,0.050000001,1.899999976,0,0,0,0
Ecu,5.599999905,3.168792009,0.25999999,0.800000012,0,0,0,0
Egy,2.25,2.987219334,0.460000008,3.5,0,0,0,1
ElSal,5.150000095,3.139249325,0,-0.200000003,0,0,0,0
Erit,2.630000114,2.217483997,0.689999998,1.799999952,0,0,0,1
Est,6,3.651956081,0.479999989,-0.100000001,0,1,0,0
Eth,3.099999905,2,0.839999974,-0.400000006,0,0,0,1
Fiji,4.349999905,3.372175217,0.600000024,0.600000024,1,0,0,0
Fin,7,4.414254665,0.140000001,2,0,0,0,0
Fra,6.5,4.40864706,0.239999995,1.799999952,0,0,0,0
Gab,3.650000095,3.647578478,0.529999971,-1.5,0,0,0,0
Gam,3.050000191,2.572871685,0.730000019,0,1,0,0,1
Geo,3.699999809,3.325310469,0.569999993,-4,0,1,0,0
Ger,6.5,4.356408119,0.180000007,1.200000048,0,0,0,0
Gha,4.099999905,2.546542645,0.790000021,-0.100000001,1,0,0,0
Gre,6.099999905,4.03080225,0.140000001,1.600000024,0,0,0,0
Guat,4.049999714,3.132899761,0.600000024,0.5,0,0,0,0
Guin-B,3.699999809,2.348304749,0.850000024,-1.100000024,0,0,0,0
Guin,2.5,2.725911617,0.75,1.399999976,0,0,0,1
Guy,5.650000095,2.743509769,0.07,-0.200000003,1,0,0,0
Hai,2.449999809,2.682145119,0,-1.299999952,0,0,0,0
Hon,5.199999809,2.833784342,0.050000001,0.699999988,0,0,0,0
Hun,6.400000095,3.686367989,0.140000001,1.399999976,0,1,0,0
India,4.75,2.519828081,0.930000007,3,1,0,0,0
Indo,3.150000095,2.890979528,0.829999983,4.099999905,0,0,1,1
Iran,1.699999809,3.023663998,0.75999999,-1,0,0,1,1
Iraq,1,3.387389898,0.649999976,-3.5,0,0,1,1
Ire,7,4.143233299,0.170000002,4.400000095,0,0,0,0
Isr,6.050000191,4.132452011,0.649999976,1.799999952,0,0,0,0
Ita,6.5,4.25866127,0.589999974,2.200000048,0,0,0,0
Jam,5.75,3.217746973,0.01,-0.699999988,1,0,0,0
Japan,6.429999828,4.58785677,0.029999999,2.599999905,0,0,0,0
Jor,4.049999714,3.157154322,0.479999989,1.799999952,0,0,0,1
Kaz,3.150000095,3.316599369,0.699999988,-4.699999809,0,1,0,1
Ken,2.25,2.550228357,0.899999976,0.5,1,0,0,0
Kuw,3.099999905,4.100370407,0.540000021,-1.299999952,0,0,1,1
Kyr,4.099999905,3.193681002,0.670000017,-3.400000095,0,1,0,1
Laos,1.5,2.506505013,0.560000002,4.300000191,0,0,0,0
Lat,5.900000095,3.568553686,0.600000024,-0.800000012,0,1,0,0
Leb,2.650000095,3.235780954,0.140000001,2,0,0,0,1
Les,3.849999905,2.56820178,0.25999999,3.5,1,0,0,0
Liby,1,3.809761763,0.349999994,-3.599999905,0,0,1,1
Lith,6.199999809,3.503926754,0.340000004,-1.5,0,1,0,0
Mac,4.670000076,2.913813829,0.49000001,0,0,1,0,0
Mad,4.799999714,2.440909147,0.5,-1.799999952,0,0,0,0
Malaw,4.299999714,2.181843519,0.699999988,0.200000003,1,0,0,0
Malay,3.349999905,3.500236511,0.75,3.900000095,1,0,0,1
Mali,5.099999905,2.396199465,0.860000014,0,0,0,0,1
Mauritan,1.900000095,2.641474009,0.189999998,-0.600000024,0,0,0,1
Mauritius,6.449999809,3.470557451,0.600000024,4.300000191,1,0,0,0
Mex,4.400000095,3.607025862,0.129999995,1.200000048,0,0,0,0
Mol,4.150000095,3.249443054,0.589999974,-4.699999809,0,1,0,0
Mon,5.5,2.697229385,0.300000012,-0.100000001,0,1,0,0
Mor,3.099999905,3.117271185,0.469999999,1.600000024,0,0,0,1
Moz,3.900000095,2.158362389,0.920000017,0.699999988,0,0,0,0
Mya,1,2.863322973,0.639999986,1.5,1,0,0,0
Nam,5.549999714,3.289588928,0.839999974,-0.600000024,0,0,0,0
Nep,4.699999809,2.260071278,0.689999998,1.600000024,0,0,0,0
Neth,7,4.380373955,0.200000003,1.799999952,0,0,0,0
Nic,4.599999905,2.662757874,0.079999998,-3.400000095,0,0,0,0
Niger,3.150000095,2.371067762,0.639999986,-1.399999976,0,0,0,1
Nigeria,2.599999905,2.411619663,0.879999995,-0.699999988,1,0,1,1
Nor,7,4.45999527,0.079999998,2.900000095,0,0,0,0
NZ,7,4.176843166,0.100000001,0.699999988,1,0,0,0
Oman,2.099999905,3.746711969,0.680000007,2.400000095,0,0,0,1
Pak,3.400000095,2.651278019,0.829999983,2.700000048,1,0,0,1
Pan,5.650000095,3.401917219,0.230000004,1,0,0,0,0
PapNG,5.25,2.948412895,0.99000001,0.200000003,0,0,0,0
Par,4.650000095,3.259115934,0.330000013,1.399999976,0,0,0,0
Peru,3.599999905,3.303627968,0.349999994,-0.400000006,0,0,0,0
Phil,5.150000095,3.026941538,0.850000024,0.5,0,0,0,0
